Geneid	Chr	Start	End	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UBR.18_R1.mLb.clN.bam.raw	UVR.11_R1.mLb.clN.bam.raw	UVR.14_R1.mLb.clN.bam.raw	UBR.18_R1.mLb.clN.bam.pseudo	UVR.11_R1.mLb.clN.bam.pseudo	UVR.14_R1.mLb.clN.bam.pseudo
Interval_264	chr1	16281	16538	+	258	6.01471133808945	-1.76920292756038	2.09762425849665	-0.843431763526781	0.398987013648367	NA	4	9	10	2.94121217301322	7.92986902091013	12.1756206037888
Interval_265	chr1	87748	88015	+	268	6.75897197120615	0.0926941278194923	1.94399751874138	0.0476822253762476	0.961969500083305	NA	13	12	6	9.55893956229296	10.5731586945468	7.3053723622733
Interval_266	chr1	190920	191172	+	253	6.44631718401329	-2.32759544237655	2.05755924222011	-1.1312410328779	0.257953655723287	NA	3	10	11	2.20590912975991	8.81096557878903	13.3931826641677
Interval_267	chr1	191242	191959	+	718	21.554225817981	-0.661728757406483	1.05999467776639	-0.624275547119606	0.532446640033199	0.9999770515149	23	37	17	16.911969994826	32.6005726415194	20.698555026441
Interval_268	chr1	268234	268543	+	310	5.94940560296382	-0.829764474909523	2.13671950411163	-0.388335704949961	0.697767617754336	NA	4	5	5	2.94121217301322	4.40548278939451	6.08781030189442
Interval_269	chr1	629087	629337	+	251	586.288826159161	0.769346948304043	3.3274746043193	0.231210464327924	0.817151300882395	0.9999770515149	1832	1791	2	1347.07517524005	1578.04393516112	2.43512412075777
Interval_270	chr1	633864	634160	+	297	1959.76251860907	-0.337244258347153	0.227968058698911	-1.47934873101046	0.139047134995633	0.9999770515149	2197	2203	1759	1615.46078602751	1941.05571700722	2141.69166420646
Interval_271	chr1	778396	779083	+	688	43.385279124492	0.269656235333952	0.702438988728681	0.383885632290988	0.701063215775228	0.9999770515149	74	50	38	54.4124252007446	44.0548278939451	46.2673582943976
Interval_272	chr1	827101	827799	+	699	31.9076289622645	-0.378514537675027	0.848879750691909	-0.445898888937456	0.655670284867086	0.9999770515149	33	37	25	24.2650004273591	32.6005726415194	30.4390515094721
Interval_273	chr1	1013377	1013579	+	203	13.2252380144585	0.299387769851676	1.34745866606646	0.222186978637094	0.824168330334892	NA	22	12	13	16.1766669515727	10.5731586945468	15.8283067849255
Interval_274	chr1	1115904	1116465	+	562	58.7138356089644	-0.168021731878049	0.603174881808321	-0.278562216275185	0.780580812345053	0.9999770515149	78	77	50	57.3536373737578	67.8444349566755	60.8781030189442
Interval_275	chr1	1231945	1232174	+	230	30.5143269034581	0.371264902906734	0.851707117136923	0.435906775271256	0.662904369196021	0.9999770515149	56	35	27	41.1769704221851	30.8383795257616	32.8741756302298
Interval_276	chr1	1324457	1324751	+	295	12.3107244475488	0.510454768800001	1.38595816323028	0.368304601352667	0.71264612192203	NA	22	12	10	16.1766669515727	10.5731586945468	12.1756206037888
Interval_277	chr1	1375259	1375593	+	335	31.4093092620118	0.00680498827448964	0.870527123936106	0.00781708930988933	0.993762928650621	0.9999770515149	47	50	20	34.5592430329053	44.0548278939451	24.3512412075777
Interval_278	chr1	1399333	1399663	+	331	44.7553262312111	0.364356504865345	0.697546589390803	0.522340027758651	0.601433604162051	0.9999770515149	67	44	31	49.2653038979714	38.7682485466717	37.7444238717454
Interval_279	chr1	1471602	1471792	+	191	13.8942790054309	-0.469772334086386	1.31668568473459	-0.356783961071985	0.721253544313072	NA	16	19	13	11.7648486920529	16.7408345996992	15.8283067849255
Interval_280	chr1	1511747	1512209	+	463	20.6929904466195	-0.483982081978863	1.06552092339304	-0.454221096323172	0.649669700385783	0.9999770515149	25	32	19	18.3825760813326	28.1950898521249	23.1336791471988
Interval_281	chr1	1574797	1575222	+	426	12.407508177297	0.237268852735131	1.4144345663624	0.16774820014851	0.866781375189406	NA	18	17	6	13.2354547785595	14.9786414839414	7.3053723622733
Interval_282	chr1	1615242	1615839	+	598	42.1835578121227	-0.10232664767019	0.723723188607802	-0.141389206924587	0.887562480243611	0.9999770515149	53	44	37	38.9710612924252	38.7682485466717	45.0497962340187
