_MEMBER_Input ID,_LogP_Input ID,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-17.55820408,GO:0019221,M1,1,0,GO Biological Processes,19,cytokine-mediated signaling pathway,-17.55820408,6.676281407,12.87280771,24156,796,150,33,22,3.382306905,301|302|375|834|837|972|1154|2323|3113|3115|3312|3669|3688|3726|4792|5034|5292|5355|5696|5698|5699|5720|5721|6647|7076|7431|7852|8519|8717|8764|9235|10410|10581,ANXA1|ANXA2|ARF1|CASP1|CASP4|CD74|CISH|FLT3LG|HLA-DPA1|HLA-DPB1|HSPA8|ISG20|ITGB1|JUNB|NFKBIA|P4HB|PIM1|PLP2|PSMB8|PSMB9|PSMB10|PSME1|PSME2|SOD1|TIMP1|VIM|CXCR4|IFITM1|TRADD|TNFRSF14|IL32|IFITM3|IFITM2,-13.23909802,0,1,1,1,-17.55820408,10.43777778,
1,-5.911123419,R-HSA-1280218,M1,1,0,Reactome Gene Sets,6,Adaptive Immune System,-5.911123419,3.814105263,6.231112291,24156,760,150,18,12,2.653299832,375|972|3113|3115|3385|3688|4267|4792|5476|5696|5698|5699|5720|5721|8519|8764|9246|10952,ARF1|CD74|HLA-DPA1|HLA-DPB1|ICAM3|ITGB1|CD99|NFKBIA|CTSA|PSMB8|PSMB9|PSMB10|PSME1|PSME2|IFITM1|TNFRSF14|UBE2L6|SEC61B,-3.37016861,0,7,0,0,-6.965120639,21.96,
1,-10.99542307,R-HSA-449147,M1,1,0,Reactome Gene Sets,6,Signaling by Interleukins,-10.99542307,6.986550976,10.25859869,24156,461,150,20,13.33333333,2.775554666,301|302|375|834|1154|3312|3688|3726|4792|5034|5292|5696|5698|5699|5720|5721|6647|7076|7431|9235,ANXA1|ANXA2|ARF1|CASP1|CISH|HSPA8|ITGB1|JUNB|NFKBIA|P4HB|PIM1|PSMB8|PSMB9|PSMB10|PSME1|PSME2|SOD1|TIMP1|VIM|IL32,-7.825535867,0,1,0,0,-17.55820408,10.43777778,
1,-8.183525573,GO:0043900,M1,1,0,GO Biological Processes,19,regulation of multi-organism process,-8.183525573,6.253980583,8.502553615,24156,412,150,16,10.66666667,2.520435001,302|397|972|2597|3312|3669|3956|5034|5479|7076|7538|7852|8519|10410|10581|58515,ANXA2|ARHGDIB|CD74|GAPDH|HSPA8|ISG20|LGALS1|P4HB|PPIB|TIMP1|ZFP36|CXCR4|IFITM1|IFITM3|IFITM2|SELENOK,-5.244630755,0,4,0,0,-8.777384814,33.31862069,
1,-7.624542919,GO:0045055,M1,1,0,GO Biological Processes,19,regulated exocytosis,-7.624542919,4.248542714,7.367123422,24156,796,150,21,14,2.833137248,226|302|353|375|1476|2316|2495|2512|3312|4831|5476|5880|6282|6647|7076|8407|9144|9588|11322|51150|58485,ALDOA|ANXA2|APRT|ARF1|CSTB|FLNA|FTH1|FTL|HSPA8|NME2|CTSA|RAC2|S100A11|SOD1|TIMP1|TAGLN2|SYNGR2|PRDX6|TMC6|SDF4|TRAPPC1,-4.767834857,0,5,1,1,-7.624542919,4.3615,
1,-7.17344096,GO:1903706,M1,1,0,GO Biological Processes,19,regulation of hemopoiesis,-7.17344096,5.290841889,7.561470934,24156,487,150,16,10.66666667,2.520435001,301|972|2323|3021|3148|3956|4792|4831|5292|5696|5698|5699|5720|5721|6647|7538,ANXA1|CD74|FLT3LG|H3-3B|HMGB2|LGALS1|NFKBIA|NME2|PIM1|PSMB8|PSMB9|PSMB10|PSME1|PSME2|SOD1|ZFP36,-4.357146115,0,6,1,1,-7.17344096,8.784,
1,-7.089113151,GO:0050792,M1,1,0,GO Biological Processes,19,regulation of viral process,-7.089113151,8.475789474,8.580130596,24156,209,150,11,7.333333333,2.128466671,972|3312|3669|3956|5034|5479|7538|7852|8519|10410|10581,CD74|HSPA8|ISG20|LGALS1|P4HB|PPIB|ZFP36|CXCR4|IFITM1|IFITM3|IFITM2,-4.288521031,0,4,0,0,-8.777384814,33.31862069,
1,-6.965120639,GO:0033209,M1,1,0,GO Biological Processes,19,tumor necrosis factor-mediated signaling pathway,-6.965120639,9.528994083,8.795133732,24156,169,150,10,6.666666667,2.036700309,834|837|4792|5696|5698|5699|5720|5721|8717|8764,CASP1|CASP4|NFKBIA|PSMB8|PSMB9|PSMB10|PSME1|PSME2|TRADD|TNFRSF14,-4.177493497,0,7,1,1,-6.965120639,21.96,
1,-6.745072735,R-HSA-202424,M1,1,0,Reactome Gene Sets,6,Downstream TCR signaling,-6.745072735,13.14612245,9.523798148,24156,98,150,8,5.333333333,1.834645995,3113|3115|4792|5696|5698|5699|5720|5721,HLA-DPA1|HLA-DPB1|NFKBIA|PSMB8|PSMB9|PSMB10|PSME1|PSME2,-4.038750532,0,7,0,0,-6.965120639,21.96,
1,-5.572755819,GO:0038061,M1,1,0,GO Biological Processes,19,NIK/NF-kappaB signaling,-5.572755819,7.750588235,7.325321891,24156,187,150,9,6,1.939071943,4792|5052|5696|5698|5699|5720|5721|8717|54923,NFKBIA|PRDX1|PSMB8|PSMB9|PSMB10|PSME1|PSME2|TRADD|LIME1,-3.183068685,0,7,0,0,-6.965120639,21.96,
