chr19	54905834	54906334	4505
chr4	8409394	8409894	8252
chr11	120908631	120909131	5119
chr19	16335133	16335633	5422
chr22	46280892	46281392	5624
chr12	52566925	52567425	6223
chr7	38317391	38317891	5464
chr1	100713009	100713509	4394
chr11	86486562	86487062	4472
chr17	47714625	47715125	3684
chr16	88653549	88654049	3311
chr1	167486337	167486837	3738
chr10	70603337	70603837	5326
chr10	70610451	70610951	4075
chr22	37164122	37164622	4122
chr10	7243102	7243602	2959
chr14	24634158	24634658	5570
chr19	18148923	18149423	4131
chr17	36066533	36067033	6314
chr2	64643734	64644234	2817
chr7	33707356	33707856	4065
chr2	74032087	74032587	5135
chr19	51372571	51373071	7137
chr7	3106400	3106900	2586
chr6	105646306	105646806	5490
chr22	23263931	23264431	5095
chr12	124423806	124424306	3967
chr2	110846484	110846984	4363
chr7	70660426	70660926	4229
chr22	37149921	37150421	7395
chr15	69499395	69499895	2099
chr20	32569195	32569695	3183
chr3	12916064	12916564	5373
chr2	144505500	144506000	4043
chr17	83083437	83083937	5244
chr10	70602598	70603098	6115
chr22	21767101	21767601	5791
chr9	126637332	126637832	4919
chr22	20610108	20610608	2316
chr1	225460656	225461156	3778
chr4	7649848	7650348	5155
chr13	24618375	24618875	5633
chr19	54803310	54803810	3025
chr16	57646611	57647111	4164
chr8	122489589	122490089	3537
chr19	3788940	3789440	3374
chr19	39297916	39298416	4371
chr14	92531406	92531906	4891
chr20	2866155	2866655	3137
chr1	24911009	24911509	7235
chr1	15407557	15408057	2799
chr9	136572487	136572987	2706
chr6	80454111	80454611	3233
chr5	107474512	107475012	3464
chr1	15066069	15066569	2700
chr10	125015199	125015699	2894
chr17	1120529	1121029	2978
chr1	54807238	54807738	4569
chr19	32498588	32499088	3498
chr19	4709451	4709951	2438
chr6	40587458	40587958	2842
chr8	134619931	134620431	2907
chr8	141172204	141172704	2332
chr17	47700845	47701345	3413
chr10	128042213	128042713	3243
chr1	6294913	6295413	2453
chr1	175514624	175515124	2794
chr1	184387329	184387829	5965
chr20	20215975	20216475	3242
chr6	168877903	168878403	3974
chr20	50386091	50386591	6602
chr14	99287258	99287758	4180
